cluster,pose_index,description
0,877,"a man stands with his arms outstretched at shoulder level, then lowers them and brings them in front of his body, then drops them to his sides.#a/DET man/NOUN stand/VERB with/ADP his/DET arm/NOUN outstretche/VERB at/ADP shoulder/NOUN level/NOUN then/ADV lower/VERB them/PRON and/CCONJ bring/VERB them/PRON in/ADP front/NOUN of/ADP his/DET body/NOUN then/ADV drop/VERB them/PRON to/ADP his/DET side/NOUN#0.0#0.0
a man puts his arms to his side then buttons his shirt#a/DET man/NOUN put/VERB his/DET arm/NOUN to/ADP his/DET side/NOUN then/ADV button/VERB his/DET shirt/NOUN#0.0#0.0
person has arms extended  to shoulder height then lowers them to hips then  raises hands to chest clasping hands together then lowers hands to hips again#person/NOUN has/AUX arm/NOUN extend/VERB to/PART shoulder/VERB height/NOUN then/ADV lower/VERB them/PRON to/ADP hip/NOUN then/ADV raise/VERB hand/NOUN to/PART chest/VERB clasp/VERB hand/NOUN together/ADV then/ADV lower/VERB hand/NOUN to/ADP hip/NOUN again/ADV#0.0#0.0
"
0,909,"a person bends down to pick something up with their right hand#a/DET person/NOUN bend/VERB down/ADP to/PART pick/VERB something/PRON up/ADP with/ADP their/DET right/ADJ hand/NOUN#0.0#0.0
the person is picking something up.#the/DET person/NOUN is/AUX pick/VERB something/PRON up/ADP#0.0#0.0
the figure stands still, and then it steps forward and drops its weight onto one leg to pick up an object from the ground, and then casually returns back to its first position.#the/DET figure/NOUN stand/VERB still/ADV and/CCONJ then/ADV it/PRON step/VERB forward/ADV and/CCONJ drop/VERB its/DET weight/NOUN onto/ADP one/NUM leg/NOUN to/PART pick/VERB up/ADP an/DET object/NOUN from/ADP the/DET ground/NOUN and/CCONJ then/ADV casually/ADV return/VERB back/ADV to/ADP its/DET first/ADJ position/NOUN#0.0#0.0
"
0,941,"a person walks forward then turns and walks back the other way.#a/DET person/NOUN walk/VERB forward/ADV then/ADV turn/VERB and/CCONJ walk/VERB back/ADV the/DET other/ADJ way/NOUN#0.0#0.0
a person walks forward, turns around and walks back.#a/DET person/NOUN walk/VERB forward/ADV turn/VERB around/ADV and/CCONJ walk/VERB back/ADV#0.0#0.0
a man walks forward before turning around and walking back.#a/DET man/NOUN walk/VERB forward/ADV before/ADP turn/VERB around/ADP and/CCONJ walk/VERB back/ADV#0.0#0.0
"
0,965,"a person stands still while rotating each arm in a circular forward motion. starting with the right arm then with the left arm. and both arms at the same time#a/DET person/NOUN stand/VERB still/ADV while/SCONJ rotate/VERB each/DET arm/NOUN in/ADP a/DET circular/ADJ forward/ADJ motion/NOUN start/VERB with/ADP the/DET right/ADJ arm/NOUN then/ADV with/ADP the/DET left/ADJ arm/NOUN and/CCONJ both/DET arm/NOUN at/ADP the/DET same/ADJ time/NOUN#0.0#0.0
a person moves their right arm in a circular motion, then moves their left arm in a circular motion.#a/DET person/NOUN move/VERB their/DET right/ADJ arm/NOUN in/ADP a/DET circular/ADJ motion/NOUN then/ADV move/VERB their/DET left/ADJ arm/NOUN in/ADP a/DET circular/ADJ motion/NOUN#0.0#0.0
a person rotating right arm, then left. raises both hands.#a/DET person/NOUN rotate/VERB right/ADJ arm/NOUN then/ADV left/VERB raise/VERB both/DET hand/NOUN#0.0#0.0
"
0,966,"a person jogs happily in place.#a/DET person/NOUN jog/VERB happily/ADV in/ADP place/NOUN#0.0#0.0
person jogs on the spot quickly#person/NOUN jog/VERB on/ADP the/DET spot/NOUN quickly/ADV#0.0#0.0
a person runs in place then stands still with arms relaxed on both sides.#a/DET person/NOUN run/VERB in/ADP place/NOUN then/ADV stand/VERB still/ADV with/ADP arm/NOUN relax/VERB on/ADP both/DET side/NOUN#0.0#0.0
"
0,981,"the figure raises its left arm then swats downward and foward.#the/DET figure/NOUN raise/VERB its/DET left/ADJ arm/NOUN then/ADV swat/VERB downward/ADV and/CCONJ foward/ADJ#0.0#0.0
a man smashing with his left arm at something on the ground.#a/DET man/NOUN smash/VERB with/ADP his/DET left/ADJ arm/NOUN at/ADP something/PRON on/ADP the/DET ground/NOUN#0.0#0.0
a person does a hitting motion with his left hand.#a/DET person/NOUN does/AUX a/DET hit/VERB motion/NOUN with/ADP his/DET left/ADJ hand/NOUN#0.0#0.0
"
1,1,"a man full-body sideways jumps to his left.#a/DET man/NOUN fullbody/NOUN sideways/ADV jump/VERB to/ADP his/DET left/NOUN#0.0#0.0
a person jumps straight to the left.#a/DET person/NOUN jump/VERB straight/ADV to/ADP the/DET left/NOUN#0.0#0.0
a person jumps sideways to the left#a/DET person/NOUN jump/VERB sideways/ADV to/ADP the/DET left/NOUN#0.0#0.0
a person jump hop to the right#a/DET person/NOUN jump/NOUN hop/NOUN to/ADP the/DET right/NOUN#0.0#0.0
"
1,40,"a man raises its right arm and wiggles it and brings it back down.#a/DET man/NOUN raise/VERB its/DET right/ADJ arm/NOUN and/CCONJ wiggle/VERB it/PRON and/CCONJ bring/VERB it/PRON back/ADV down/ADP#0.0#3.0
the person is reaching up with his right arm sideways wiping something down and then returning the arm and hand to their side.#the/DET person/NOUN is/AUX reach/VERB up/ADP with/ADP his/DET right/ADJ arm/NOUN sideways/ADV wipe/VERB something/PRON down/ADV and/CCONJ then/ADV return/VERB the/DET arm/NOUN and/CCONJ hand/VERB to/ADP their/DET side/NOUN#0.0#0.0
he uplift his right hand and moving it fast again and again.#he/PRON uplift/VERB his/DET right/ADJ hand/NOUN and/CCONJ move/VERB it/PRON fast/ADJ again/ADV and/CCONJ again/ADV#0.0#0.0
"
1,65,"person lifts and object and places it to their right#person/NOUN lift/NOUN and/CCONJ object/NOUN and/CCONJ place/VERB it/PRON to/ADP their/DET right/NOUN#0.0#0.0
looks like a person is pretending to lift something from his left side and move it to his right side#look/VERB like/SCONJ a/DET person/NOUN is/AUX pretend/VERB to/PART lift/VERB something/PRON from/ADP his/DET left/ADJ side/NOUN and/CCONJ move/VERB it/PRON to/ADP his/DET right/ADJ side/NOUN#0.0#0.0
a person uses both hands to pick something up then set it down to the side#a/DET person/NOUN use/VERB both/DET hand/NOUN to/PART pick/VERB something/PRON up/ADV then/ADV set/VERB it/PRON down/ADP to/ADP the/DET side/NOUN#0.0#0.0
"
1,100,"a person walks forward and climbs up something on the right hand side#a/DET person/NOUN walk/VERB forward/ADV and/CCONJ climb/VERB up/ADP something/PRON on/ADP the/DET right/ADJ hand/NOUN side/NOUN#0.0#0.0
slowly and cautiously walking forward while holding something to the sides of the person.#slowly/ADV and/CCONJ cautiously/ADV walk/VERB forward/ADV while/SCONJ hold/VERB something/PRON to/ADP the/DET side/NOUN of/ADP the/DET person/NOUN#0.0#0.0
a man walks carefully across a narrow beam holding on to the walls on each side.#a/DET man/NOUN walk/VERB carefully/ADV across/ADP a/DET narrow/ADJ beam/NOUN hold/VERB on/ADP to/ADP the/DET wall/NOUN on/ADP each/DET side/NOUN#0.0#0.0
"
1,103,"a person walks forward at a normal pace.#a/DET person/NOUN walk/VERB forward/ADV at/ADP a/DET normal/ADJ pace/NOUN#0.0#0.0
a man walks forward slowly.#a/DET man/NOUN walk/VERB forward/ADV slowly/ADV#0.0#0.0
a person walks forward while holding their arms still#a/DET person/NOUN walk/VERB forward/ADV while/SCONJ hold/VERB their/DET arm/NOUN still/ADV#0.0#0.0
"
1,235,"a person walks forward, climbs a ladder, then climbs down#a/DET person/NOUN walk/VERB forward/ADV climb/VERB a/DET ladder/NOUN then/ADV climb/VERB down/ADP#0.0#0.0
a person walks around to the left, climbs up a ladder, looks over something and then begins to climb back down the ladder.#a/DET person/NOUN walk/VERB around/ADV to/ADP the/DET left/NOUN climb/VERB up/ADP a/DET ladder/NOUN look/VERB over/ADP something/PRON and/CCONJ then/ADV begin/VERB to/PART climb/VERB back/ADV down/ADP the/DET ladder/NOUN#0.0#0.0
a person walks to the right, then climbs something.#a/DET person/NOUN walk/VERB to/ADP the/DET right/NOUN then/ADV climb/VERB something/PRON#0.0#5.0
"
1,253,"a person lifts both hands toward face and then lowers them to their sides.#a/DET person/NOUN lift/VERB both/DET hand/NOUN toward/ADP face/NOUN and/CCONJ then/ADV lower/VERB them/PRON to/ADP their/DET side/NOUN#0.0#0.0
a person raises hands up to neck level as if holding an object and moves them from side to side.#a/DET person/NOUN raise/VERB hand/NOUN up/ADP to/ADP neck/NOUN level/NOUN as/SCONJ if/SCONJ hold/VERB an/DET object/NOUN and/CCONJ move/VERB them/PRON from/ADP side/NOUN to/ADP side/NOUN#0.0#0.0
a man raises its left and right arm then puts them back down.#a/DET man/NOUN raise/VERB its/DET left/ADJ and/CCONJ right/ADJ arm/NOUN then/ADV put/VERB them/PRON back/ADV down/ADP#0.0#0.0
"
1,255,"at the the start the person is balencing on their left foot, they take a step and then balence on their right come down gracefully and walk away and turn so that the viewer is now seeing thier back and not their front.#at/ADP the/DET the/DET start/NOUN the/DET person/NOUN is/AUX balence/VERB on/ADP their/DET left/ADJ foot/NOUN they/PRON take/VERB a/DET step/NOUN and/CCONJ then/ADV balence/VERB on/ADP their/DET right/NOUN come/VERB down/ADV gracefully/ADV and/CCONJ walk/VERB away/ADV and/CCONJ turn/VERB so/SCONJ that/SCONJ the/DET viewer/NOUN is/AUX now/ADV see/VERB thier/ADJ back/ADV and/CCONJ not/PART their/DET front/NOUN#0.0#0.0
someone exercising his lower legs#someone/PRON exercise/VERB his/DET lower/ADJ leg/NOUN#0.0#0.0
person is posing on one leg and spreading their arms out#person/NOUN is/AUX pose/VERB on/ADP one/NUM leg/NOUN and/CCONJ spread/VERB their/DET arm/NOUN out/ADP#0.0#0.0
"
1,275,"a person does jumping jacks, spreading their arms and legs out and in with each jump#a/DET person/NOUN does/AUX jump/VERB jack/NOUN spread/VERB their/DET arm/NOUN and/CCONJ leg/NOUN out/ADV and/CCONJ in/ADV with/ADP each/DET jump/NOUN#0.0#0.0
a persin is doing jumping jacks.#a/DET persin/NOUN is/AUX do/VERB jump/VERB jack/NOUN#0.0#0.0
a person does jumping jacks for a few seconds and then stops catching their balance.#a/DET person/NOUN does/AUX jump/VERB jack/NOUN for/ADP a/DET few/ADJ second/NOUN and/CCONJ then/ADV stop/VERB catch/VERB their/DET balance/NOUN#0.0#0.0
"
1,300,"a man like figure walks forward in very slow motion and then stops.#a/DET man/NOUN like/SCONJ figure/NOUN walk/VERB forward/ADV in/ADP very/ADV slow/ADJ motion/NOUN and/CCONJ then/ADV stop/VERB#0.0#0.0
someone walks forward slowly and diagonal to the left.#someone/PRON walk/VERB forward/ADV slowly/ADV and/CCONJ diagonal/ADJ to/ADP the/DET left/NOUN#0.0#0.0
a man is walking forward gradually, while gently swinging his arms.#a/DET man/NOUN is/AUX walk/VERB forward/ADV gradually/ADV while/SCONJ gently/ADV swinge/VERB his/DET arm/NOUN#0.0#0.0
"
1,409,"a person walks forward and then starts dancing.#a/DET person/NOUN walk/VERB forward/ADV and/CCONJ then/ADV start/VERB dancing/NOUN#0.0#0.0
he does a salsa dance#he/PRON does/AUX a/DET salsa/ADJ dance/NOUN#0.0#0.0
person moving forward then holding hands stomach height and then chest height and doing turns#person/NOUN move/VERB forward/ADV then/ADV hold/VERB hand/NOUN stomach/VERB height/ADV and/CCONJ then/ADV chest/VERB height/NOUN and/CCONJ do/VERB turn/NOUN#0.0#0.0
"
1,452,"person walks forward then turns around and walks back.#person/NOUN walk/VERB forward/ADV then/ADV turn/VERB around/ADP and/CCONJ walk/VERB back/ADV#0.0#0.0
this person walks forward then swings his body around to the left and walks back.#this/DET person/NOUN walk/VERB forward/ADV then/ADV swing/VERB his/DET body/NOUN around/ADP to/ADP the/DET left/NOUN and/CCONJ walk/VERB back/ADV#0.0#0.0
the person is walking back and forth.#the/DET person/NOUN is/AUX walk/VERB back/ADV and/CCONJ forth/ADV#0.0#0.0
"
1,777,"a person hops up and down on one leg.#a/DET person/NOUN hop/VERB up/ADV and/CCONJ down/ADV on/ADP one/NUM leg/NOUN#0.0#0.0
someone standing on both legs starts to hop on their left leg#someone/PRON stand/VERB on/ADP both/DET leg/NOUN start/VERB to/PART hop/VERB on/ADP their/DET left/ADJ leg/NOUN#0.0#0.0
a person raises the right foot, then hops on the left foot.#a/DET person/NOUN raise/VERB the/DET right/ADJ foot/NOUN then/ADV hop/VERB on/ADP the/DET left/ADJ foot/NOUN#0.0#0.0
"
1,901,"a person makes punching motions with their arms and makes quick steps with their feet.#a/DET person/NOUN make/VERB punching/NOUN motion/NOUN with/ADP their/DET arm/NOUN and/CCONJ make/VERB quick/ADJ step/NOUN with/ADP their/DET foot/NOUN#0.0#0.0
a person boxes and punches with right arm.#a/DET person/NOUN box/NOUN and/CCONJ punch/NOUN with/ADP right/ADJ arm/NOUN#0.0#0.0
robot fighting and throwing punches with his right hand and and trying to defend too.#robot/NOUN fight/VERB and/CCONJ throw/VERB punch/NOUN with/ADP his/DET right/ADJ hand/NOUN and/CCONJ and/CCONJ try/VERB to/PART defend/VERB too/ADV#0.0#0.0
"
1,907,"a person raises his left hand up to chest level in front of them, while keeping their other hand slightly lower in front of them.#a/DET person/NOUN raise/VERB his/DET left/ADJ hand/NOUN up/ADP to/ADP chest/NOUN level/NOUN in/ADP front/NOUN of/ADP them/PRON while/SCONJ keep/VERB their/DET other/ADJ hand/NOUN slightly/ADV lower/ADJ in/ADP front/NOUN of/ADP them/PRON#0.0#0.0
a person is standing still while their right hand is in front of them and their left hand is in a prayer pose near to their head#a/DET person/NOUN is/AUX stand/VERB still/ADV while/SCONJ their/DET right/ADJ hand/NOUN is/AUX in/ADP front/NOUN of/ADP them/PRON and/CCONJ their/DET left/ADJ hand/NOUN is/AUX in/ADP a/DET prayer/NOUN pose/VERB near/ADV to/ADP their/DET head/NOUN#0.0#0.0
a person standing upright, legs spread to about shoulder length. the person has thair arms out and bent at the elbos. the person then moves thair left hand up into a straight pose parallel with their chest.#a/DET person/NOUN stand/VERB upright/ADV leg/NOUN spread/VERB to/ADP about/ADP shoulder/NOUN length/NOUN the/DET person/NOUN has/AUX thair/ADJ arm/NOUN out/ADP and/CCONJ bend/VERB at/ADP the/DET elbos/NOUN the/DET person/NOUN then/ADV move/VERB thair/NOUN left/VERB hand/NOUN up/ADP into/ADP a/DET straight/ADJ pose/NOUN parallel/ADJ with/ADP their/DET chest/NOUN#nan#nan
"
1,987,"the person is moving hips around.#the/DET person/NOUN is/AUX move/VERB hip/NOUN around/ADV#0.0#0.0
a person rotates the top of their body in a circle, then rotates their hips in a circle#a/DET person/NOUN rotate/VERB the/DET top/NOUN of/ADP their/DET body/NOUN in/ADP a/DET circle/NOUN then/ADV rotate/VERB their/DET hip/NOUN in/ADP a/DET circle/NOUN#0.0#0.0
a person is swirling the top part of his body in a circle.#a/DET person/NOUN is/AUX swirl/VERB the/DET top/ADJ part/NOUN of/ADP his/DET body/NOUN in/ADP a/DET circle/NOUN#0.0#0.0
"
2,12,"a man walks up and down from either stairs, rocks, or some unlevel terrain requiring a step.#a/DET man/NOUN walk/VERB up/ADV and/CCONJ down/ADV from/ADP either/DET stair/NOUN rock/NOUN or/CCONJ some/DET unlevel/ADJ terrain/NOUN require/VERB a/DET step/NOUN#0.0#0.0
a person walks in a square shape while going up and down on objects.#a/DET person/NOUN walk/VERB in/ADP a/DET square/ADJ shape/NOUN while/SCONJ go/VERB up/ADV and/CCONJ down/ADP on/ADP object/NOUN#nan#nan
a person climbs up and down steps in a square.#a/DET person/NOUN climb/VERB up/ADP and/CCONJ down/ADP step/NOUN in/ADP a/DET square/NOUN#0.0#10.0
climb up steps with both legs#climb/VERB up/ADP step/NOUN with/ADP both/DET leg/NOUN#0.0#0.0
"
2,17,"a person is walking forward briskly.#a/DET person/NOUN is/AUX walk/VERB forward/ADV briskly/ADV#0.0#0.0
the figure plants four steps leading with it's left foot, with a fifth step not planted.#the/DET figure/NOUN plant/VERB four/NUM step/NOUN lead/VERB with/ADP it/PRON left/VERB foot/NOUN with/ADP a/DET fifth/ADJ step/NOUN not/PART plant/VERB#0.0#0.0
person is walking without their arms swinging#person/NOUN is/AUX walk/VERB without/ADP their/DET arm/NOUN swinge/VERB#0.0#0.0
"
2,70,"he is running straight and stopped.#he/PRON is/AUX run/VERB straight/ADV and/CCONJ stop/VERB#0.0#0.0
a person jog in the forward direction.#a/DET person/NOUN jog/NOUN in/ADP the/DET forward/ADJ direction/NOUN#0.0#0.0
person jobs up a few paces in a straight line and stops#person/NOUN job/VERB up/ADP a/DET few/ADJ pace/NOUN in/ADP a/DET straight/ADJ line/NOUN and/CCONJ stop/NOUN#0.0#0.0
"
2,143,"a person raises their arms, lowers them, then steps back and turns#a/DET person/NOUN raise/VERB their/DET arm/NOUN lower/VERB them/PRON then/ADV step/VERB back/ADV and/CCONJ turn/VERB#0.0#0.0
a man puts his hands down; steps back; stumbles forward, losing his balance, and collides with a wall and then reaches for his head.#a/DET man/NOUN put/VERB his/DET hand/NOUN down/ADP step/NOUN back/ADV stumble/NOUN forward/ADV lose/VERB his/DET balance/NOUN and/CCONJ collide/VERB with/ADP a/DET wall/NOUN and/CCONJ then/ADV reach/VERB for/ADP his/DET head/NOUN#0.0#0.0
the figure walks backeards then forwards, and then hits its head.#the/DET figure/NOUN walk/VERB backeard/NOUN then/ADV forwards/ADV and/CCONJ then/ADV hit/VERB its/DET head/NOUN#0.0#0.0
"
2,149,"a person limps in a jagged line to the left, and then the right, while holding their right knee.#a/DET person/NOUN limp/VERB in/ADP a/DET jagged/ADJ line/NOUN to/ADP the/DET left/NOUN and/CCONJ then/ADV the/DET right/NOUN while/SCONJ hold/VERB their/DET right/ADJ knee/NOUN#0.0#0.0
a person is walking and has injured their leg#a/DET person/NOUN is/AUX walk/VERB and/CCONJ has/AUX injure/VERB their/DET leg/NOUN#0.0#0.0
a person walks unevenly while crouching down#a/DET person/NOUN walk/VERB unevenly/ADV while/SCONJ crouch/VERB down/ADP#0.0#0.0
"
2,187,"a person walks quickly then slowly drops to the ground assuming a pushup position.#a/DET person/NOUN walk/VERB quickly/ADV then/ADV slowly/ADV drop/VERB to/ADP the/DET ground/NOUN assume/VERB a/DET pushup/NOUN position/NOUN#0.0#0.0
a person walks forward to the left ,then to the right and lays face down on the ground#a/DET person/NOUN walk/VERB forward/ADV to/ADP the/DET left/NOUN then/ADV to/ADP the/DET right/NOUN and/CCONJ lay/VERB face/VERB down/ADP on/ADP the/DET ground/NOUN#0.0#0.0
a person lowers their outstretched arms, walks forward, stops and gets onto floor into a pushup position.#a/DET person/NOUN lower/VERB their/DET outstretche/VERB arm/NOUN walk/VERB forward/ADV stop/VERB and/CCONJ get/VERB onto/ADP floor/NOUN into/ADP a/DET pushup/NOUN position/NOUN#0.0#0.0
"
